ImageID,Labels,Caption
0.jpg,1,Woman in swim suit holding parasol on sunny day. a beautiful young woman holding a pink umbrella
1.jpg,1 19,A couple of men riding horses on top of a green field. a black and white photo of two horses in a field
2.jpg,1,They are brave for riding in the jungle on those elephants. people riding on top of elephants in a forest
3.jpg,8 3 13,a black and silver clock tower at an intersection near a tree a clock on a pole in front of a tree
4.jpg,8 3 7,A train coming to a stop on the tracks out side. a train traveling down tracks next to a train station
5.jpg,1,A young man riding a skateboard into the air. a skateboarder is doing a trick on a wall
6.jpg,5,A big airplane flying in the big blue sky a large jetliner flying through a cloudy sky
7.jpg,1 4,A man riding a motor bike across a forest. a man riding a motorcycle on a dirt road
8.jpg,8 3,There is a street lined with packed buildings a street filled with lots of cars and buildings
9.jpg,1 18 15,A skate park next to a body of water and green park. a row of benches near a body of water
10.jpg,1,Woman cutting pizza with fork and knife sitting next to young girl a woman cutting a pizza with a knife
11.jpg,1,a man and woman cut into a big cake a man and a woman cutting a cake together
12.jpg,1 15,A piece of cake and coffee are on an outdoor table. a piece of cake on a plate next to a cup of coffee
13.jpg,1 3,People gathered outside in a big field on a cloudy day a field full of people flying kites in the sky
14.jpg,1 13 7,A stop sign directs pedestrians as a train travels by. a red stop sign sitting in the middle of a forest
15.jpg,1,a female in military uniform cutting a businessman's neck tie a woman cutting a man's tie while another woman watches
16.jpg,1,Six snowboards are propped in the snow on a rail. a person on a snowboard in the snow
17.jpg,3 5,a small airplane that is on a runway a small propeller plane sitting on a runway
18.jpg,1 3 6,A female traveler leaning on a luggage cart. a woman is standing in front of a bus
19.jpg,18 3,The dog is playing with his toy in the grass a dog in the grass with a frisbee in its mouth
20.jpg,1,the people are sampling wine at a wine tasting. a number of people standing around a table with wine glasses
21.jpg,18,A stuffed bear that is laying down in the grass. a brown teddy bear sitting on top of a grass covered field
22.jpg,1,Beautiful women wearing bikinis frolicking on a sandy beach. a beach filled with lots of people and umbrellas
23.jpg,1,A man tossing an orange frisbee on top of a lush green field. a man throwing a frisbee in a park
24.jpg,1,A man holding a glass of wine on it's side. a man holding a wine glass in his right hand
25.jpg,7,The passenger train has stopped at a station. a train that is sitting on the tracks
26.jpg,1,A young boy playing soccer on a grassy field a young boy kicking a soccer ball on a field
27.jpg,1,A little girl holding wet broccoli in her hand. a little girl holding a piece of broccoli
28.jpg,1,landscape of a snowy mountain with a skiers trail in the snow a person riding skis down a snow covered slope
29.jpg,1,A man with a bushy beard and green tie. a man with a beard standing in front of a crowd of people
